study_hours,attendance_percent,previous_score,sleep_hours,assignments_completed,passed
4.0,77,61,6.5,6,1
1.1,49,33,4.5,1,0
6.8,96,88,8.4,10,1
3.5,68,51,5.8,5,0
5.7,91,77,7.9,9,1
2.6,62,46,5.6,3,0
4.4,81,63,6.9,7,1
7.0,93,85,8.2,10,1
3.0,66,48,5.7,4,0
5.3,86,72,7.6,8,1
2.1,57,40,5.0,2,0
6.1,88,80,7.5,9,1
4.6,79,65,6.8,7,1
1.5,55,39,4.9,2,0
7.7,98,94,8.7,10,1
3.7,71,54,6.1,5,0
5.0,83,68,7.3,8,1
2.8,69,52,5.8,4,0
6.5,92,82,8.0,9,1
4.3,76,59,6.6,6,1
1.9,61,44,5.2,3,0
5.8,87,75,7.7,9,1
3.2,64,49,5.6,4,0
6.9,95,89,8.5,10,1
4.9,84,67,7.1,8,1
2.3,59,42,5.0,3,0
5.6,90,74,7.8,9,1
3.8,72,57,6.4,6,0
7.3,96,91,8.3,10,1
4.1,80,62,6.9,7,1
1.4,53,35,4.7,2,0
6.2,89,79,7.6,9,1
2.5,65,47,5.5,4,0
5.4,82,71,7.2,8,1
3.6,74,55,6.0,5,0
6.7,94,87,8.1,10,1
4.5,78,63,6.7,7,1
2.0,56,38,5.1,2,0
5.9,86,76,7.5,9,1
3.4,70,51,5.9,5,0
7.1,92,84,8.0,10,1
4.7,81,66,7.0,8,1
1.8,52,37,4.8,2,0
6.4,91,81,8.2,9,1
2.7,63,45,5.4,3,0
5.2,85,70,7.3,8,1
3.9,77,60,6.6,6,1
6.0,88,78,7.8,9,1
2.2,60,43,5.2,3,0
4.8,83,65,7.0,7,1
7.5,97,90,8.6,10,1
3.1,68,50,5.8,4,0
5.5,89,73,7.6,8,1
4.2,75,58,6.4,6,1
1.6,54,36,4.9,2,0
6.6,93,86,8.1,10,1
2.9,66,48,5.7,4,0
5.7,84,72,7.4,8,1
3.5,71,53,6.1,5,0
7.0,95,88,8.4,10,1
4.4,79,64,6.8,7,1
2.1,58,40,5.0,3,0
6.3,90,79,7.9,9,1
3.7,73,56,6.2,5,0
5.0,82,69,7.1,8,1
1.2,50,34,4.6,1,0
7.8,98,95,8.8,10,1
4.6,86,67,7.3,8,1
2.6,61,44,5.3,3,0
5.3,87,71,7.5,9,1
3.0,69,52,6.0,5,0
6.8,94,85,8.2,10,1
4.0,76,61,6.5,6,1
1.7,55,38,4.8,2,0
5.9,89,77,7.8,9,1
2.4,64,46,5.5,3,0
7.2,96,90,8.5,10,1
3.8,72,54,6.3,5,0
5.1,81,68,7.0,7,1
4.9,85,70,7.2,8,1
2.0,57,42,5.1,3,0
6.5,92,83,8.0,9,1
3.3,67,49,5.9,4,0
5.6,88,75,7.6,9,1
4.3,80,62,6.7,7,1
1.5,51,35,4.7,2,0
7.4,94,87,8.3,10,1
2.8,63,47,5.6,4,0
5.8,86,73,7.5,8,1
3.6,74,57,6.2,6,0
6.1,90,81,7.9,9,1
4.7,82,66,7.1,7,1
2.3,59,41,5.2,3,0
5.2,84,69,7.3,8,1
3.9,70,53,6.0,5,0
7.0,93,86,8.1,10,1
1.9,56,39,4.9,2,0
6.7,97,91,8.6,10,1
4.5,78,63,6.8,7,1
2.7,65,48,5.5,4,0
5.4,89,74,7.7,9,1
3.2,71,55,6.1,5,0
6.2,91,80,8.0,9,1
4.1,75,59,6.6,6,1
1.3,53,36,4.7,1,0
5.7,85,72,7.4,8,1
2.5,62,45,5.4,3,0
7.6,96,92,8.7,10,1
3.7,68,51,5.9,5,0
4.8,81,65,7.0,7,1
6.4,94,85,8.2,10,1
2.2,60,43,5.0,3,0
5.0,87,70,7.5,8,1
3.4,73,54,6.3,5,0
6.9,95,89,8.4,10,1
4.6,79,61,6.7,7,1
1.6,55,38,4.8,2,0
5.5,83,73,7.2,8,1
2.9,66,50,5.6,4,0
7.1,92,84,8.0,10,1
3.8,77,58,6.4,6,1
4.2,82,64,6.9,7,1
6.0,89,79,7.8,9,1
2.0,58,40,5.1,3,0
5.9,91,76,7.6,9,1
3.1,69,52,5.9,5,0
7.3,97,93,8.5,10,1
4.9,84,68,7.1,8,1
1.4,52,34,4.6,1,0
6.6,90,82,8.0,9,1
2.6,63,46,5.3,3,0
5.3,86,71,7.4,8,1
3.5,72,55,6.2,5,0
7.7,98,94,8.8,10,1
4.4,80,63,6.8,7,1
2.1,57,41,5.0,3,0
6.3,93,86,8.2,10,1
3.9,74,57,6.5,6,1
5.1,85,69,7.2,8,1
1.8,54,37,4.9,2,0
6.8,96,90,8.4,10,1
2.7,61,44,5.5,3,0
5.6,88,74,7.6,9,1
3.3,70,51,6.0,5,0
4.7,77,62,6.7,7,1
7.2,94,87,8.1,10,1
2.4,65,48,5.7,4,0
5.8,82,71,7.3,8,1
4.0,75,60,6.4,6,1
1.2,50,33,4.5,1,0
6.5,91,83,8.0,9,1
3.6,68,52,5.8,5,0
5.2,89,70,7.5,8,1
2.9,64,46,5.3,3,0
7.5,97,92,8.7,10,1
4.3,81,65,7.0,7,1
1.7,56,39,4.8,2,0
6.1,87,79,7.7,9,1
3.0,71,53,6.1,5,0
5.4,84,72,7.4,8,1
2.3,59,42,5.2,3,0
6.9,95,88,8.3,10,1
4.8,79,64,6.9,7,1
3.7,73,55,6.3,6,0
5.0,86,68,7.1,8,1
1.5,52,35,4.7,2,0
7.8,98,95,8.9,10,1
4.5,83,66,7.2,8,1
2.8,62,47,5.4,4,0
6.4,92,84,8.1,9,1
3.2,69,50,6.0,5,0
5.7,88,76,7.6,9,1
4.1,76,60,6.5,6,1
1.9,58,40,5.0,3,0
6.7,94,89,8.4,10,1
2.5,63,45,5.6,3,0
5.3,81,70,7.3,8,1
3.8,74,57,6.2,6,1
7.0,96,91,8.6,10,1
4.6,80,63,6.8,7,1
2.0,55,38,4.9,2,0
6.0,89,78,7.8,9,1
3.4,67,49,5.7,4,0
5.5,85,72,7.5,8,1
2.7,60,44,5.3,3,0
7.4,93,86,8.2,10,1
4.9,82,66,7.0,7,1
1.3,51,34,4.6,1,0
6.2,90,80,8.0,9,1
3.5,72,54,6.1,5,0
5.9,87,75,7.7,9,1
4.2,78,61,6.6,6,1
2.2,59,41,5.1,3,0
7.6,97,93,8.8,10,1
3.9,69,52,5.9,5,0
5.1,83,68,7.2,8,1
2.6,65,47,5.5,4,0
6.6,92,85,8.1,10,1
4.4,80,64,6.9,7,1
1.6,54,36,4.8,2,0
5.8,89,73,7.6,9,1
3.1,70,51,6.0,5,0
7.1,95,90,8.5,10,1
4.7,77,62,6.7,7,1
2.4,61,44,5.4,3,0
6.3,91,82,8.0,9,1
3.6,74,56,6.2,6,1
5.4,86,71,7.4,8,1
1.8,53,37,4.7,2,0
7.9,98,96,8.9,10,1
4.0,79,60,6.8,7,1
2.9,66,49,5.6,4,0
6.8,93,87,8.3,10,1
3.3,68,50,5.9,5,0
5.6,84,74,7.5,8,1
4.5,81,65,7.0,7,1
1.1,49,32,4.4,1,0
6.5,96,89,8.5,10,1
2.1,57,40,5.0,3,0
5.2,88,69,7.3,8,1
3.7,71,54,6.1,5,0
7.3,94,88,8.2,10,1
4.8,76,63,6.6,7,1
2.5,62,45,5.3,3,0
6.1,90,79,7.9,9,1
3.0,69,51,5.8,5,0
5.7,85,73,7.6,9,1
4.3,80,62,6.9,7,1
1.7,55,37,4.8,2,0
7.7,97,94,8.7,10,1
3.5,73,55,6.2,6,0
5.0,82,68,7.1,8,1
2.8,64,47,5.5,4,0
6.9,92,86,8.1,10,1
4.6,78,64,6.7,7,1
2.0,58,40,5.0,3,0
5.5,87,72,7.5,9,1
3.2,70,52,6.0,5,0
6.4,95,88,8.4,10,1
4.1,75,59,6.5,6,1
1.4,52,35,4.6,1,0
5.9,90,76,7.8,9,1
2.7,60,43,5.2,3,0
7.2,96,91,8.6,10,1
3.8,68,50,5.9,5,0
5.3,83,70,7.3,8,1
4.9,81,65,6.9,7,1
1.9,56,39,4.9,2,0
6.7,93,84,8.2,10,1
2.3,63,46,5.4,3,0
5.6,86,74,7.5,8,1
3.4,72,54,6.1,5,0
7.5,98,95,8.8,10,1
4.2,79,61,6.6,7,1
2.6,59,43,5.3,3,0
6.0,89,78,7.7,9,1
3.9,74,57,6.3,6,1
5.1,84,69,7.2,8,1
1.5,50,34,4.6,1,0
6.8,94,87,8.3,10,1
2.4,65,47,5.5,4,0
5.8,88,75,7.6,9,1
3.0,67,49,5.8,5,0
7.0,95,90,8.5,10,1
4.7,80,63,6.8,7,1
1.8,54,38,4.8,2,0
6.3,91,82,8.0,9,1
3.6,70,53,6.0,5,0
5.4,85,71,7.4,8,1
2.9,61,44,5.2,3,0
7.8,97,93,8.7,10,1
4.4,77,62,6.7,7,1
2.2,58,41,5.0,3,0
6.6,92,85,8.1,10,1
3.5,73,55,6.2,6,0
5.7,89,74,7.5,9,1
4.0,82,60,6.9,7,1
1.3,51,33,4.5,1,0
7.4,96,92,8.6,10,1
2.5,64,46,5.4,3,0
5.0,86,68,7.2,8,1
3.8,69,52,6.0,5,0
6.2,90,80,7.9,9,1
4.9,79,65,6.7,7,1
1.6,55,37,4.7,2,0
5.9,87,76,7.6,9,1
2.8,62,45,5.3,4,0
7.1,94,88,8.4,10,1
3.3,71,53,6.1,5,0
5.5,83,70,7.3,8,1
4.5,78,62,6.8,7,1
2.0,57,40,5.0,3,0
6.4,93,85,8.1,9,1
3.7,68,51,5.9,5,0
5.2,89,72,7.5,8,1
2.7,60,44,5.4,3,0
7.6,97,94,8.8,10,1
4.3,81,64,6.9,7,1
1.2,50,34,4.6,1,0
6.7,91,83,8.0,9,1
3.1,70,52,6.2,5,0
5.8,85,74,7.4,9,1
4.6,76,61,6.6,6,1
2.3,59,42,5.1,3,0
7.3,95,90,8.5,10,1
3.9,72,55,6.0,6,0
5.1,87,69,7.2,8,1
2.6,63,46,5.5,4,0
6.5,94,87,8.2,10,1
4.8,80,65,7.0,7,1
1.7,53,36,4.8,2,0
5.6,88,73,7.6,9,1
3.4,69,50,5.9,5,0
7.9,98,96,8.9,10,1
4.1,77,60,6.7,7,1
2.1,56,39,5.0,3,0
6.0,90,79,7.8,9,1
3.2,74,54,6.3,5,0
5.3,82,68,7.1,8,1
1.5,52,35,4.7,2,0
7.0,96,91,8.6,10,1
2.9,65,48,5.4,4,0
5.9,86,75,7.5,9,1
3.6,71,53,6.0,5,0
6.8,93,86,8.2,10,1
4.7,79,63,6.8,7,1
2.4,61,44,5.2,3,0
5.5,89,72,7.7,8,1
3.0,67,49,5.8,5,0
7.5,97,94,8.7,10,1
4.4,83,64,7.0,8,1
1.8,54,37,4.8,2,0
6.3,92,84,8.0,9,1
3.7,73,56,6.2,6,0
5.0,85,68,7.3,8,1
2.2,58,41,5.0,3,0
6.6,95,89,8.4,10,1
4.9,80,66,6.9,7,1
1.4,51,34,4.6,1,0
5.7,87,74,7.5,9,1
2.5,64,45,5.3,3,0
7.2,96,92,8.6,10,1
3.5,70,52,6.0,5,0
4.6,78,61,6.7,7,1
6.1,90,81,7.9,9,1
2.8,62,46,5.4,4,0
5.4,84,71,7.2,8,1
3.8,69,54,6.1,5,0
7.7,98,95,8.8,10,1
4.2,81,63,6.8,7,1
1.6,55,38,4.9,2,0
6.4,93,85,8.1,10,1
2.0,59,42,5.2,3,0
5.8,88,76,7.6,9,1
3.3,72,53,6.0,5,0
6.9,94,87,8.3,10,1
4.5,77,62,6.6,7,1
2.7,65,47,5.5,4,0
5.2,86,70,7.4,8,1
3.9,71,55,6.2,6,0
7.4,97,93,8.7,10,1
4.8,82,65,7.0,7,1
1.3,50,33,4.5,1,0
6.2,91,80,8.0,9,1
3.1,68,49,5.8,5,0
5.6,85,73,7.5,8,1
2.3,60,43,5.2,3,0
7.0,95,90,8.5,10,1
4.3,79,64,6.9,7,1
1.9,56,39,4.8,2,0
6.7,92,84,8.2,10,1
3.6,74,55,6.1,5,0
5.9,89,76,7.7,9,1
2.6,63,45,5.4,3,0
4.7,80,62,6.8,7,1
7.8,98,96,8.9,10,1
3.4,70,52,5.9,5,0
5.3,83,69,7.3,8,1
4.0,76,60,6.5,6,1
1.5,52,35,4.7,2,0
6.5,94,87,8.1,10,1
2.9,61,44,5.3,3,0
5.7,88,74,7.6,9,1
3.2,69,50,6.0,5,0
7.3,96,92,8.6,10,1
4.6,78,63,6.7,7,1
2.1,57,40,5.1,3,0
6.0,90,79,7.8,9,1
3.8,72,55,6.2,6,0
5.1,85,69,7.2,8,1
1.7,54,37,4.8,2,0
7.6,97,94,8.8,10,1
4.4,81,65,7.0,7,1
2.4,62,45,5.4,3,0
6.3,93,85,8.2,9,1
3.0,67,49,5.8,5,0
5.5,87,73,7.5,8,1
4.9,79,64,6.9,7,1
1.2,49,32,4.5,1,0
6.8,95,89,8.4,10,1
2.7,60,43,5.2,3,0
5.9,86,76,7.7,9,1
3.5,71,53,6.0,5,0
7.1,94,88,8.3,10,1
4.1,77,61,6.6,7,1
2.0,58,41,5.0,3,0
5.4,84,70,7.4,8,1
3.7,73,55,6.2,6,0
6.6,92,84,8.1,10,1
4.8,80,65,6.8,7,1
1.6,53,36,4.7,2,0
5.2,89,69,7.3,8,1
2.5,64,46,5.4,3,0
7.5,97,94,8.7,10,1
3.3,68,50,5.9,5,0
6.1,91,81,7.9,9,1
4.5,82,64,7.0,7,1
1.8,55,38,4.9,2,0
5.8,87,75,7.6,9,1
2.9,62,44,5.3,4,0
6.9,95,90,8.5,10,1
3.9,70,53,6.1,5,0
5.0,83,68,7.2,8,1
4.3,78,61,6.7,7,1
2.2,59,42,5.1,3,0
7.2,96,92,8.6,10,1
3.6,74,56,6.2,6,0
5.6,85,72,7.4,8,1
1.4,51,34,4.6,1,0
6.4,93,86,8.2,10,1
2.8,65,47,5.5,4,0
5.7,88,74,7.6,9,1
3.1,69,51,5.9,5,0
7.7,98,95,8.8,10,1
4.7,80,64,6.9,7,1
2.3,57,40,5.0,3,0
6.2,90,80,7.9,9,1
3.4,72,54,6.1,5,0
5.3,84,70,7.3,8,1
1.9,53,37,4.8,2,0
7.4,96,91,8.5,10,1
4.0,76,60,6.6,6,1
2.6,61,44,5.4,3,0
5.5,89,73,7.5,9,1
3.8,68,51,5.9,5,0
6.7,94,87,8.3,10,1
4.6,81,63,7.0,7,1
1.5,55,38,4.7,2,0
5.9,86,75,7.7,9,1
2.1,60,42,5.2,3,0
7.0,97,93,8.7,10,1
3.5,70,53,6.0,5,0
5.1,82,68,7.2,8,1
4.9,79,64,6.8,7,1
2.7,63,46,5.4,4,0
6.5,92,85,8.0,10,1
3.0,67,49,5.8,5,0
5.6,87,73,7.6,9,1
4.2,75,59,6.5,6,1
1.3,50,33,4.5,1,0
7.8,98,96,8.9,10,1
2.4,58,41,5.1,3,0
6.0,90,79,7.8,9,1
3.7,73,55,6.2,6,0
5.4,85,71,7.4,8,1
1.7,54,37,4.8,2,0
6.8,95,89,8.4,10,1
4.4,80,64,6.9,7,1
2.9,62,45,5.3,3,0
5.8,88,75,7.6,9,1
3.2,69,50,5.9,5,0
7.3,96,92,8.6,10,1
4.6,77,62,6.7,7,1
2.0,56,39,5.0,3,0
6.3,91,82,8.0,9,1
3.9,72,55,6.1,6,0
5.0,84,69,7.2,8,1
1.6,52,35,4.7,2,0
7.5,97,94,8.8,10,1
4.1,79,61,6.8,7,1
2.5,64,46,5.4,3,0
6.6,93,85,8.2,10,1
3.4,71,53,6.0,5,0
5.7,86,74,7.5,9,1
4.8,82,65,7.0,7,1
1.2,50,34,4.6,1,0
6.9,95,88,8.4,10,1
2.8,60,43,5.3,3,0
5.3,89,70,7.4,8,1
3.6,68,51,5.9,5,0
7.1,94,90,8.5,10,1
4.3,78,63,6.7,7,1
2.2,57,40,5.1,3,0
6.4,92,84,8.1,9,1
3.0,73,54,6.2,5,0
5.9,85,76,7.6,9,1
4.7,81,64,6.9,7,1
1.8,55,37,4.8,2,0
7.7,98,95,8.9,10,1
2.6,63,45,5.4,4,0
5.5,87,72,7.3,8,1
3.8,70,52,6.0,5,0
6.1,90,81,7.9,9,1
4.0,76,60,6.6,6,1
1.4,51,34,4.6,1,0
6.7,94,87,8.3,10,1
2.3,59,42,5.2,3,0
5.2,83,69,7.2,8,1
3.5,72,54,6.1,5,0
7.4,96,92,8.7,10,1
4.9,80,65,6.9,7,1
2.0,58,40,5.0,3,0
5.8,88,75,7.6,9,1
3.3,67,49,5.8,5,0
6.5,93,85,8.1,10,1
4.5,79,63,6.7,7,1
1.9,54,37,4.8,2,0
7.0,97,94,8.8,10,1
2.7,61,44,5.3,3,0
5.4,86,71,7.5,8,1
3.1,69,51,6.0,5,0
6.8,95,89,8.4,10,1
4.2,77,61,6.6,7,1
2.4,60,43,5.2,3,0
5.6,89,74,7.7,9,1
3.7,73,55,6.2,6,0
7.6,98,96,8.9,10,1
4.8,82,66,7.0,8,1
1.5,52,35,4.7,2,0
6.2,91,80,7.9,9,1
2.9,64,47,5.4,4,0
5.0,85,68,7.3,8,1
3.4,70,52,5.9,5,0
7.2,96,91,8.6,10,1
4.4,78,62,6.8,7,1
2.1,57,40,5.1,3,0
6.6,94,86,8.2,10,1
3.9,72,55,6.1,6,0
5.7,87,73,7.5,9,1
1.7,53,36,4.8,2,0
7.8,98,95,8.9,10,1
4.1,81,64,6.9,7,1
2.5,62,45,5.3,3,0
6.0,90,79,7.8,9,1
3.2,68,50,5.9,5,0
5.3,84,70,7.2,8,1
4.7,76,61,6.6,7,1
1.3,50,33,4.5,1,0
6.9,93,87,8.3,10,1
2.8,59,43,5.2,3,0
5.9,88,76,7.6,9,1
3.6,71,54,6.0,5,0
7.3,97,93,8.7,10,1
4.5,80,63,6.8,7,1
2.2,56,39,5.0,3,0
6.4,92,84,8.1,9,1
3.0,69,51,5.8,5,0
5.5,85,72,7.4,8,1
1.8,54,37,4.7,2,0
7.5,98,96,8.8,10,1
4.0,77,60,6.6,6,1
2.6,63,46,5.4,4,0
6.7,94,88,8.2,10,1
3.5,70,52,6.0,5,0
5.1,82,68,7.2,8,1
4.9,79,64,6.8,7,1
2.0,58,41,5.1,3,0
6.3,91,81,8.0,9,1
3.8,73,55,6.2,6,0
5.8,87,75,7.6,9,1
1.4,51,34,4.6,1,0
7.1,96,92,8.6,10,1
4.6,81,65,6.9,7,1
2.3,60,43,5.3,3,0
6.1,90,80,7.9,9,1
3.3,68,50,5.9,5,0
5.6,85,71,7.3,8,1
2.7,62,45,5.4,4,0
7.7,98,95,8.9,10,1
4.3,78,62,6.7,7,1
1.6,53,36,4.8,2,0
6.8,93,86,8.2,10,1
3.9,72,54,6.1,6,0
5.2,88,70,7.5,8,1
4.7,80,64,6.9,7,1
2.1,57,40,5.0,3,0
6.5,95,89,8.4,10,1
3.1,69,51,5.9,5,0
5.7,84,73,7.4,9,1
1.9,55,38,4.7,2,0
7.4,97,94,8.7,10,1
4.2,76,60,6.6,6,1
2.4,61,44,5.3,3,0
6.0,89,78,7.8,9,1
3.6,71,53,6.0,5,0
5.4,86,71,7.3,8,1
2.9,64,46,5.4,4,0
7.2,96,91,8.5,10,1
4.8,82,65,7.0,7,1
1.2,50,33,4.5,1,0
6.6,92,84,8.1,10,1
3.4,70,52,5.9,5,0
5.0,85,68,7.2,8,1
2.2,58,41,5.1,3,0
7.9,98,96,8.9,10,1
4.4,79,63,6.8,7,1
1.7,54,37,4.8,2,0
6.3,91,82,8.0,9,1
3.7,73,55,6.2,6,0
5.9,87,76,7.6,9,1
2.5,62,45,5.3,3,0
7.0,95,90,8.5,10,1
4.1,77,61,6.7,7,1
2.8,60,43,5.2,4,0
5.5,84,70,7.3,8,1
3.2,69,50,5.8,5,0
6.9,94,87,8.3,10,1
4.6,80,64,6.9,7,1
1.5,52,35,4.6,2,0
6.2,90,81,7.9,9,1
3.5,72,54,6.1,5,0
5.3,86,72,7.4,8,1
2.0,57,40,5.0,3,0
7.6,97,94,8.8,10,1
4.9,81,65,7.0,7,1
2.7,63,46,5.4,4,0
6.7,93,85,8.2,10,1
3.8,70,53,6.0,6,0
5.8,88,74,7.5,9,1
4.3,78,62,6.7,7,1
1.3,51,34,4.5,1,0
7.3,96,92,8.6,10,1
2.3,59,42,5.2,3,0
6.4,91,80,8.0,9,1
3.0,68,50,5.9,5,0
5.1,83,69,7.2,8,1
4.5,75,59,6.5,6,1
1.8,55,38,4.8,2,0
6.8,95,89,8.4,10,1
2.9,61,44,5.3,4,0
5.6,87,73,7.6,9,1
3.6,71,54,6.1,5,0
7.8,98,96,8.9,10,1
4.0,79,62,6.8,7,1
2.1,58,41,5.1,3,0
6.1,90,79,7.8,9,1
3.4,69,51,5.9,5,0
5.4,85,71,7.4,8,1
2.6,63,45,5.4,3,0
7.5,97,93,8.7,10,1
4.7,81,64,6.9,7,1
1.4,50,33,4.6,1,0
6.5,92,84,8.1,10,1
3.9,72,55,6.0,6,0
5.0,84,68,7.3,8,1
2.4,60,43,5.2,3,0
6.9,94,88,8.3,10,1
4.2,77,61,6.6,7,1
1.6,53,36,4.7,2,0
5.7,89,74,7.5,9,1
3.1,67,49,5.8,5,0
7.1,96,91,8.5,10,1
4.8,80,65,6.9,7,1
2.0,56,39,5.0,3,0
6.3,90,81,7.9,9,1
3.5,73,55,6.2,5,0
5.2,86,70,7.4,8,1
2.8,62,45,5.3,4,0
7.7,98,95,8.8,10,1
4.4,78,63,6.7,7,1
1.9,54,37,4.8,2,0
6.7,93,86,8.2,10,1
3.7,70,52,6.0,5,0
5.9,85,75,7.6,9,1
2.2,59,42,5.1,3,0
7.4,97,93,8.7,10,1
4.1,82,64,7.0,7,1
2.5,64,46,5.4,3,0
6.0,89,78,7.8,9,1
3.3,68,50,5.9,5,0
5.5,84,70,7.3,8,1
1.5,52,35,4.7,2,0
7.0,96,91,8.6,10,1
4.6,76,61,6.6,7,1
2.7,61,44,5.3,4,0
6.6,94,87,8.2,10,1
3.8,72,54,6.1,6,0
5.3,87,71,7.5,8,1
4.9,80,65,6.9,7,1
1.2,49,32,4.5,1,0
6.4,92,84,8.0,9,1
3.0,69,51,5.8,5,0
5.8,86,74,7.6,9,1
2.3,58,41,5.1,3,0
7.8,98,96,8.9,10,1
4.3,79,63,6.8,7,1
1.7,55,38,4.8,2,0
6.2,91,81,8.0,9,1
3.6,71,53,6.0,5,0
5.0,83,68,7.2,8,1
2.9,63,46,5.4,4,0
7.2,95,90,8.5,10,1
4.7,81,64,6.9,7,1
1.4,51,34,4.6,1,0
6.8,94,87,8.3,10,1
3.2,70,52,5.9,5,0
5.6,88,74,7.5,9,1
2.1,57,40,5.0,3,0
7.6,97,94,8.8,10,1
4.0,77,60,6.6,6,1
2.6,62,45,5.3,4,0
6.5,90,80,7.9,9,1
3.9,73,55,6.1,6,0
5.4,85,71,7.4,8,1
1.8,54,37,4.8,2,0
7.3,96,92,8.6,10,1
4.5,80,64,6.9,7,1
2.4,59,42,5.2,3,0
6.1,91,82,8.0,9,1
3.4,68,50,5.9,5,0
5.7,87,73,7.6,9,1
2.8,64,47,5.4,4,0
7.9,98,96,8.9,10,1
4.2,78,61,6.7,7,1
1.6,53,36,4.7,2,0
6.7,93,85,8.2,10,1
3.1,69,51,5.8,5,0
5.2,84,69,7.3,8,1
2.0,56,39,5.0,3,0
7.5,97,94,8.7,10,1
4.8,82,65,7.0,7,1
2.5,61,44,5.3,3,0
6.3,90,79,7.8,9,1
3.7,72,54,6.1,5,0
5.5,86,72,7.4,8,1
1.3,50,33,4.5,1,0
7.1,95,90,8.5,10,1
4.4,79,63,6.8,7,1
2.7,63,46,5.4,4,0
6.9,94,88,8.3,10,1
3.5,70,52,6.0,5,0
5.9,88,75,7.6,9,1
4.1,76,60,6.6,6,1
1.9,55,38,4.8,2,0
6.4,92,84,8.1,10,1
2.2,58,41,5.1,3,0
5.1,85,69,7.2,8,1
3.3,68,50,5.9,5,0
7.7,98,95,8.9,10,1
4.6,80,64,6.9,7,1
2.9,62,45,5.3,4,0
6.0,90,79,7.8,9,1
3.8,74,56,6.2,6,0
5.6,87,73,7.5,9,1
1.5,52,35,4.7,2,0
7.4,96,92,8.7,10,1
4.9,81,65,7.0,7,1
2.3,60,43,5.2,3,0
6.6,93,86,8.2,10,1
3.0,69,51,5.8,5,0
5.3,84,70,7.3,8,1
4.3,77,62,6.7,7,1
1.7,54,37,4.8,2,0
6.8,95,89,8.4,10,1
2.6,63,45,5.4,3,0
5.8,89,76,7.6,9,1
3.6,71,53,6.0,5,0
7.2,97,93,8.8,10,1
4.0,79,61,6.8,7,1
2.1,57,40,5.0,3,0
6.2,91,81,8.0,9,1
3.4,70,52,5.9,5,0
5.0,83,68,7.2,8,1
1.2,49,33,4.5,1,0
7.8,98,96,8.9,10,1
4.5,82,64,7.0,7,1
2.8,61,44,5.3,4,0
6.5,94,87,8.2,10,1
3.9,72,55,6.1,6,0
5.5,86,72,7.5,8,1
2.4,59,42,5.2,3,0
